Date,Last Name,First Name,Vehicle Make,Vehicle Model,Status,Total Appointments,Total Missed Appointments
2018-04-03,Owens,James,Subaru,Legacy,Attended,,
2018-04-03,Hill,Samuel,Honda,Fit,Missed,,
2018-04-03,Spencer,Charlotte,Audi,Q7,Attended,,
2018-04-03,Young,Adam,Mercedes-Benz,GLA,Attended,,
2018-04-04,Graham,Sarah,Subaru,Forester,Attended,,
2018-04-04,Collins,Ella,Mercedes-Benz,E-Class,Attended,,
2018-04-04,Roberts,Benjamin,Mercedes-Benz,GLE,Attended,,
2018-04-04,Perez,Jonathan,Audi,A6,Attended,,
2018-04-04,Cox,Emily,Mazda,MX-5 Miata,Missed,,
2018-04-05,Hall,Hannah,Nissan,Rogue,Attended,,
2018-04-05,Martin,James,Mercedes-Benz,GLE,Missed,,
2018-04-05,Sullivan,Mia,Chevrolet,Equinox,Attended,,
2018-04-05,Watson,Daniel,Jeep,Cherokee,Missed,,
2018-04-05,Green,John,Audi,A6,Attended,,
2018-04-05,Freeman,Emma,Subaru,Crosstrek,Attended,,
2018-04-06,Patterson,Grace,Hyundai,Kona,Attended,,
2018-04-06,Hawkins,Lucas,Honda,Accord,Attended,,
2018-04-06,Jenkins,Emily,Kia,Soul,Attended,,
2018-04-06,Cooper,Olivia,Hyundai,Elantra,Attended,,
2018-04-06,Flores,Gabriel,Audi,A4,Attended,,
2018-04-06,Martinez,Gabriel,Volkswagen,Golf,Missed,,
2018-04-06,Moore,Matthew,Jeep,Compass,Missed,,
2018-04-06,Baker,Jonathan,Dodge,Grand Caravan,Attended,,
2018-04-09,James,Elijah,Hyundai,Kona,Attended,,
2018-04-09,Wagner,William,Subaru,BRZ,Attended,,
2018-04-09,Hill,Caleb,Toyota,Sienna,Attended,,
2018-04-09,Willis,Joseph,Volkswagen,Atlas,Attended,,
2018-04-09,Ellis,Zoe,Dodge,Grand Caravan,Attended,,
2018-04-09,Hicks,Mia,Dodge,Durango,Missed,,
2018-04-09,Ruiz,James,Jeep,Grand Cherokee,Missed,,
2018-04-09,Gonzales,Matthew,Mazda,MX-5 Miata,Attended,,
2018-04-10,Berry,Emily,BMW,3 Series,Missed,,
2018-04-10,Lopez,Benjamin,Volkswagen,Jetta,Attended,,
2018-04-10,Kennedy,Victoria,Ford,Escape,Attended,,
2018-04-10,Thomas,Andrew,Honda,Fit,Attended,,
2018-04-10,Greene,Scarlett,Jeep,Gladiator,Attended,,
2018-04-10,West,Emma,Hyundai,Sonata,Attended,,
2018-04-10,Spencer,Caleb,Mercedes-Benz,GLE,Missed,,
2018-04-10,Martinez,Ella,Volkswagen,Golf,Missed,,
2018-04-10,Ruiz,Evelyn,Volkswagen,Tiguan,Attended,,
2018-04-11,Bell,Amelia,Toyota,Highlander,Attended,,
2018-04-11,Carroll,Jane,Audi,A3,Attended,,
2018-04-11,Olson,Andrew,Jeep,Cherokee,Attended,,
2018-04-12,Duncan,Matthew,Subaru,BRZ,Attended,,
2018-04-12,Berry,Elijah,Mazda,CX-9,Attended,,
2018-04-12,Graham,Scarlett,Jeep,Grand Cherokee,Attended,,
2018-04-12,Olson,Jackson,Mazda,Mazda6,Attended,,
2018-04-12,Jackson,Adam,Jeep,Gladiator,Attended,,
2018-04-12,Wagner,Gabriel,Dodge,Journey,Attended,,
2018-04-12,Johnson,Samuel,Kia,Forte,Attended,,
2018-04-12,Barnes,Olivia,Honda,Accord,Attended,,
2018-04-13,Patterson,Lillian,Chevrolet,Equinox,Attended,,
2018-04-13,Stevens,Jonathan,Ford,F-150,Attended,,
2018-04-13,Riley,Jane,Honda,Civic,Attended,,
2018-04-13,Russell,Amelia,Mazda,Mazda3,Attended,,
2018-04-16,Cruz,Avery,BMW,4 Series,Missed,,
2018-04-16,Clark,Joshua,Dodge,Charger,Attended,,
2018-04-16,Matthews,Emily,Mercedes-Benz,S-Class,Attended,,
2018-04-16,Ferguson,Jackson,Audi,A3,Attended,,
2018-04-16,Green,Emily,Toyota,Camry,Attended,,
2018-04-16,Shaw,Elijah,Jeep,Renegade,Attended,,
2018-04-16,Olson,Sofia,Chevrolet,Silverado,Missed,,
2018-04-17,Rodriguez,Evelyn,Jeep,Cherokee,Attended,,
2018-04-17,Henry,Ella,Mazda,MX-5 Miata,Attended,,
2018-04-17,Cox,Matthew,Jeep,Cherokee,Attended,,
2018-04-17,Ray,Sarah,Mercedes-Benz,S-Class,Attended,,
2018-04-17,Rogers,Andrew,Mazda,CX-9,Attended,,
2018-04-18,Anderson,Emma,Dodge,Durango,Missed,,
2018-04-18,Reyes,Aiden,Toyota,Sienna,Attended,,
2018-04-18,Griffin,Aubrey,Mazda,MX-5 Miata,Attended,,
2018-04-18,Walker,Logan,Hyundai,Elantra,Attended,,
2018-04-19,Cooper,Abigail,Mercedes-Benz,C-Class,Attended,,
2018-04-19,Stewart,David,Dodge,Charger,Attended,,
2018-04-19,Hart,Jonathan,Honda,Accord,Attended,,
2018-04-19,Ruiz,James,Mazda,Mazda3,Attended,,
2018-04-20,Hawkins,Aria,Audi,Q5,Missed,,
2018-04-20,Stone,Daniel,Jeep,Grand Cherokee,Missed,,
2018-04-20,Ellis,Avery,Volkswagen,Atlas,Attended,,
2018-04-20,Sullivan,Caleb,Subaru,Legacy,Attended,,
2018-04-23,Kelly,Aiden,Mercedes-Benz,GLE,Missed,,
2018-04-23,Stevens,Aubrey,Audi,Q7,Missed,,
2018-04-23,Ramos,Olivia,Jeep,Grand Cherokee,Attended,,
2018-04-23,Ward,Lucas,Mazda,Mazda3,Missed,,
2018-04-24,Phillips,Victoria,Dodge,Charger,Attended,,
2018-04-24,Ferguson,Andrew,Mazda,CX-3,Attended,,
2018-04-24,Rogers,Emily,Ford,Escape,Missed,,
2018-04-24,Bryant,Samuel,Mazda,Mazda6,Attended,,
2018-04-24,Harper,Grace,Honda,Pilot,Attended,,
2018-04-25,Williams,Natalie,Kia,Forte,Attended,,
2018-04-25,Watkins,Chloe,BMW,X3,Attended,,
2018-04-25,Collins,Sophia,Ford,Explorer,Attended,,
2018-04-25,Ross,Avery,Mercedes-Benz,E-Class,Missed,,
2018-04-25,Harrison,Zoe,Dodge,Charger,Missed,,
2018-04-26,Wallace,Lillian,Volkswagen,Passat,Attended,,
2018-04-26,Fox,Emma,Nissan,Pathfinder,Attended,,
2018-04-26,Palmer,Nathan,Audi,Q5,Attended,,
2018-04-26,Brown,Ella,Jeep,Grand Cherokee,Missed,,
2018-04-26,Perez,Zoe,Honda,Fit,Attended,,
2018-04-26,King,Evelyn,Mazda,CX-5,Attended,,
2018-04-26,Ruiz,Scarlett,Subaru,Crosstrek,Missed,,
2018-04-27,Price,Elizabeth,BMW,5 Series,Attended,,
2018-04-27,Hernandez,Abigail,Dodge,Charger,Attended,,
2018-04-27,Myers,James,Mercedes-Benz,GLA,Attended,,
2018-04-27,Hart,Natalie,Hyundai,Sonata,Attended,,
2018-04-27,Duncan,Mia,Kia,Sportage,Missed,,
2018-04-30,Cooper,Andrew,Volkswagen,Beetle,Attended,,
2018-04-30,Olson,Joshua,BMW,X3,Missed,,
2018-04-30,Boyd,Grace,Mazda,MX-5 Miata,Missed,,
2018-05-01,Wright,Evelyn,Hyundai,Sonata,Missed,,
2018-05-01,Thomas,Sarah,Chevrolet,Equinox,Attended,,
2018-05-01,Fox,Nicholas,Chevrolet,Cruze,Missed,,
2018-05-01,Roberts,Jonathan,Kia,Soul,Attended,,
2018-05-01,Carroll,Amelia,Honda,Civic,Attended,,
2018-05-01,Weaver,Avery,Volkswagen,Atlas,Attended,,
2018-05-02,Murphy,James,Volkswagen,Golf,Attended,,
2018-05-02,Adams,Nicholas,Honda,Pilot,Attended,,
2018-05-02,Gonzales,Zoe,Dodge,Charger,Attended,,
2018-05-02,Lewis,Avery,Chevrolet,Impala,Attended,,
2018-05-02,Mason,Andrew,Dodge,Journey,Attended,,
2018-05-02,Reyes,Scarlett,Honda,Accord,Attended,,
2018-05-03,Fisher,Olivia,Mazda,Mazda3,Attended,,
2018-05-03,Griffin,John,Mercedes-Benz,E-Class,Missed,,
2018-05-03,Miller,Andrew,BMW,X5,Attended,,
2018-05-03,Simpson,Sarah,Subaru,Outback,Attended,,
2018-05-03,Jackson,Olivia,Jeep,Gladiator,Attended,,
2018-05-03,Hughes,Joshua,Mercedes-Benz,GLC,Attended,,
2018-05-03,Foster,John,Jeep,Cherokee,Attended,,
2018-05-04,Nichols,Elijah,Mazda,Mazda3,Attended,,
2018-05-07,Baker,Anthony,Hyundai,Sonata,Missed,,
2018-05-07,Diaz,Chloe,Subaru,BRZ,Missed,,
2018-05-07,Murphy,Chloe,Mazda,CX-3,Attended,,
2018-05-07,Armstrong,Abigail,Mazda,Mazda6,Attended,,
2018-05-07,Rice,Nathan,Mercedes-Benz,E-Class,Attended,,
2018-05-07,Allen,Natalie,Toyota,Sienna,Attended,,
2018-05-08,Miller,Avery,Subaru,Forester,Missed,,
2018-05-08,Wagner,Aiden,Ford,Mustang,Attended,,
2018-05-08,Mills,William,Kia,Soul,Missed,,
2018-05-08,Lopez,John,Volkswagen,Passat,Attended,,
2018-05-08,Price,Daniel,Hyundai,Palisade,Attended,,
2018-05-08,Gardner,Aiden,Honda,Fit,Attended,,
2018-05-09,Allen,Aria,Chevrolet,Malibu,Attended,,
2018-05-09,Campbell,Joshua,BMW,4 Series,Attended,,
2018-05-09,Weaver,Christopher,Honda,Odyssey,Attended,,
2018-05-09,Wallace,Emma,Nissan,Rogue,Missed,,
2018-05-10,Lee,Michael,Kia,Telluride,Attended,,
2018-05-10,Lawrence,Andrew,Ford,Explorer,Missed,,
2018-05-10,Bailey,Jonathan,Hyundai,Kona,Attended,,
2018-05-10,Garcia,Charlotte,Audi,Q7,Attended,,
2018-05-11,Marshall,Jackson,Toyota,Camry,Attended,,
2018-05-11,Davis,Aubrey,Mercedes-Benz,E-Class,Attended,,
2018-05-11,Butler,Aiden,Chevrolet,Equinox,Attended,,
2018-05-11,Ortiz,Nicholas,Hyundai,Kona,Attended,,
2018-05-11,Perry,Benjamin,BMW,5 Series,Attended,,
2018-05-11,Campbell,John,Mercedes-Benz,S-Class,Attended,,
2018-05-14,Bryant,Daniel,Volkswagen,Golf,Attended,,
2018-05-14,Gomez,Sarah,Nissan,Rogue,Attended,,
2018-05-14,Bennett,John,Dodge,Charger,Attended,,
2018-05-14,Ferguson,Emily,Subaru,Impreza,Attended,,
2018-05-14,Palmer,Anthony,Honda,Accord,Missed,,
2018-05-14,Stewart,Christopher,Kia,Telluride,Missed,,
2018-05-15,Wright,Chloe,Kia,Optima,Attended,,
2018-05-15,Gibson,Natalie,Dodge,Grand Caravan,Attended,,
2018-05-15,Andrews,David,BMW,4 Series,Attended,,
2018-05-15,Bradley,Ella,Mercedes-Benz,S-Class,Attended,,
2018-05-15,Cook,William,BMW,3 Series,Attended,,
2018-05-16,Webb,Jonathan,Chevrolet,Cruze,Attended,,
2018-05-16,Wagner,Chloe,Subaru,Crosstrek,Attended,,
2018-05-16,Harrison,William,Mercedes-Benz,GLC,Attended,,
2018-05-16,Henderson,Ella,Hyundai,Sonata,Missed,,
2018-05-16,Dixon,Chloe,Nissan,Maxima,Attended,,
2018-05-17,Snyder,Victoria,Volkswagen,Jetta,Attended,,
2018-05-17,Long,James,Volkswagen,Tiguan,Missed,,
2018-05-18,Snyder,Avery,Chevrolet,Equinox,Attended,,
2018-05-18,Lawrence,Dylan,Mazda,CX-5,Attended,,
2018-05-18,Rivera,Elizabeth,Honda,Civic,Missed,,
2018-05-18,Spencer,Joseph,Jeep,Grand Cherokee,Attended,,
2018-05-21,Phillips,Joshua,Honda,Civic,Attended,,
2018-05-21,Morris,Abigail,Volkswagen,Beetle,Missed,,
2018-05-22,Henry,Christopher,Ford,Explorer,Attended,,
2018-05-22,Ferguson,Emily,Volkswagen,Golf,Attended,,
2018-05-22,Fox,Ryan,Honda,CR-V,Attended,,
2018-05-22,Stewart,Ella,BMW,7 Series,Attended,,
2018-05-22,Cox,Grace,Audi,Q3,Attended,,
2018-05-23,Pierce,Jonathan,Ford,Explorer,Attended,,
2018-05-23,Watson,Sofia,Toyota,Highlander,Attended,,
2018-05-23,Johnson,Gabriel,Kia,Soul,Attended,,
2018-05-23,Morris,Jane,BMW,4 Series,Attended,,
2018-05-23,Jordan,Avery,Jeep,Gladiator,Attended,,
2018-05-23,James,Emma,BMW,X5,Missed,,
2018-05-23,Jones,Lillian,Toyota,RAV4,Attended,,
2018-05-23,Ray,Matthew,Hyundai,Palisade,Missed,,
2018-05-23,Bennett,Gabriel,Nissan,Altima,Attended,,
2018-05-23,Black,Harper,Chevrolet,Silverado,Attended,,
2018-05-24,Black,Abigail,Dodge,Charger,Attended,,
2018-05-24,Perez,Jackson,Audi,Q3,Missed,,
2018-05-24,Gordon,Avery,BMW,7 Series,Attended,,
2018-05-24,Rogers,Nathan,Honda,Accord,Attended,,
2018-05-24,Clark,Nicholas,Mercedes-Benz,GLC,Attended,,
2018-05-25,Rogers,Michael,Chevrolet,Tahoe,Missed,,
2018-05-25,Weaver,Jonathan,Volkswagen,Passat,Missed,,
2018-05-25,Wright,Matthew,Subaru,Forester,Attended,,
2018-05-25,White,Matthew,Toyota,RAV4,Attended,,
2018-05-25,Martin,Emma,Hyundai,Santa Fe,Attended,,
2018-05-25,Mason,Ryan,BMW,3 Series,Attended,,
2018-05-25,Rogers,Lillian,Chevrolet,Impala,Attended,,
2018-05-25,Crawford,Emily,Volkswagen,Tiguan,Missed,,
2018-05-28,Hawkins,Jane,Toyota,Camry,Missed,,
2018-05-28,Wallace,Sophia,Toyota,Corolla,Attended,,
2018-05-28,Henry,Joseph,Ford,Edge,Attended,,
2018-05-28,Bradley,Daniel,Ford,Mustang,Missed,,
2018-05-28,Stone,Joseph,Subaru,Impreza,Missed,,
2018-05-29,Hernandez,Daniel,BMW,5 Series,Missed,,
2018-05-30,Shaw,Hannah,Audi,A4,Missed,,
2018-05-30,Gomez,Aria,Mercedes-Benz,E-Class,Missed,,
2018-05-30,McDonald,Matthew,Jeep,Compass,Missed,,
2018-05-31,Henderson,Charlotte,Mercedes-Benz,C-Class,Missed,,
2018-05-31,Robinson,Matthew,Ford,Fusion,Missed,,
2018-05-31,Hamilton,Andrew,Audi,A4,Attended,,
2018-05-31,Morgan,Jane,Jeep,Cherokee,Attended,,
2018-05-31,Hamilton,John,Volkswagen,Beetle,Missed,,
2018-05-31,Mills,Sarah,Kia,Sportage,Attended,,
2018-05-31,Clark,Zoe,Subaru,Forester,Attended,,
2018-06-01,Walker,Jane,Kia,Optima,Missed,,
2018-06-01,Holmes,Amelia,Ford,Mustang,Attended,,
2018-06-01,Hall,Evelyn,Mercedes-Benz,GLA,Attended,,
2018-06-01,Rodriguez,Samuel,Honda,Fit,Attended,,
2018-06-04,Roberts,Jonathan,Subaru,Forester,Attended,,
2018-06-04,Cole,Joshua,Volkswagen,Beetle,Missed,,
2018-06-04,Gibson,Aubrey,Ford,F-150,Missed,,
2018-06-04,Bennett,Aiden,Kia,Forte,Missed,,
2018-06-04,Stevens,Charlotte,Hyundai,Elantra,Missed,,
2018-06-04,Robertson,Elizabeth,Honda,CR-V,Missed,,
2018-06-05,Wagner,Joshua,Mazda,Mazda3,Attended,,
2018-06-05,Walker,Charlotte,Chevrolet,Equinox,Attended,,
2018-06-05,Gardner,Jane,Dodge,Grand Caravan,Attended,,
2018-06-05,Olson,Michael,Dodge,Durango,Missed,,
2018-06-05,Wood,Emily,Hyundai,Kona,Attended,,
2018-06-05,Black,Sofia,Hyundai,Palisade,Missed,,
2018-06-05,Matthews,James,Dodge,Journey,Attended,,
2018-06-05,Campbell,David,Audi,A6,Attended,,
2018-06-05,Perez,Avery,BMW,X3,Attended,,
2018-06-06,Marshall,Amelia,Honda,Odyssey,Attended,,
2018-06-06,Carpenter,Joshua,Chevrolet,Impala,Attended,,
2018-06-06,Duncan,Nicholas,Mercedes-Benz,S-Class,Attended,,
2018-06-06,Walker,David,Mazda,Mazda6,Attended,,
2018-06-06,Russell,Harper,Subaru,Outback,Attended,,
2018-06-07,Nichols,Caleb,Subaru,Impreza,Missed,,
2018-06-07,Jones,Gabriel,Ford,F-150,Attended,,
2018-06-07,Lee,Elizabeth,BMW,5 Series,Attended,,
2018-06-08,Hill,Adam,Kia,Telluride,Attended,,
2018-06-08,Griffin,Joseph,Mazda,CX-9,Attended,,
2018-06-08,Henry,Caleb,Honda,Odyssey,Attended,,
2018-06-08,Harper,Hannah,Subaru,Forester,Attended,,
2018-06-11,Nelson,Natalie,Subaru,Outback,Attended,,
2018-06-11,Perkins,Gabriel,Toyota,RAV4,Missed,,
2018-06-11,Cook,Emily,BMW,7 Series,Missed,,
2018-06-11,Hunter,Logan,Subaru,Forester,Missed,,
2018-06-12,Ward,Anthony,Mazda,CX-9,Attended,,
2018-06-12,Murray,Anthony,Hyundai,Palisade,Attended,,
2018-06-12,Harrison,Dylan,Chevrolet,Impala,Attended,,
2018-06-12,Hill,Elizabeth,Audi,Q5,Attended,,
2018-06-12,Price,Anthony,Volkswagen,Tiguan,Attended,,
2018-06-12,Evans,Caleb,Ford,F-150,Missed,,
2018-06-13,Taylor,Mia,Toyota,RAV4,Attended,,
2018-06-13,Sanders,Chloe,Mercedes-Benz,GLC,Missed,,
2018-06-13,Andrews,Amelia,Subaru,Crosstrek,Attended,,
2018-06-13,Matthews,Ella,Kia,Sportage,Attended,,
2018-06-14,Rose,Lillian,Mazda,MX-5 Miata,Attended,,
2018-06-14,Weaver,Aria,Audi,A6,Attended,,
2018-06-14,Perez,John,Subaru,BRZ,Attended,,
2018-06-14,Morales,Anthony,Jeep,Compass,Attended,,
2018-06-14,Riley,Olivia,Kia,Optima,Attended,,
2018-06-14,Martin,Samuel,Nissan,Rogue,Missed,,
2018-06-15,Gray,Elizabeth,BMW,3 Series,Missed,,
2018-06-15,Nelson,Evelyn,Mercedes-Benz,S-Class,Attended,,
2018-06-15,Snyder,Victoria,Mazda,Mazda6,Attended,,
2018-06-18,Hill,Harper,Chevrolet,Malibu,Attended,,
2018-06-18,Carroll,Avery,Mazda,MX-5 Miata,Missed,,
2018-06-18,Weaver,Jane,Subaru,Outback,Attended,,
2018-06-18,Daniels,Michael,Volkswagen,Tiguan,Attended,,
2018-06-18,Kennedy,Jane,Chevrolet,Silverado,Missed,,
2018-06-18,Hawkins,Jackson,Audi,Q7,Attended,,
2018-06-18,Riley,Jonathan,Toyota,RAV4,Attended,,
2018-06-18,Mills,Avery,Audi,A6,Attended,,
2018-06-18,King,Avery,Toyota,Camry,Missed,,
2018-06-18,Boyd,Grace,Honda,Pilot,Attended,,
2018-06-18,Watkins,Daniel,Toyota,Sienna,Missed,,
2018-06-19,Wells,Sofia,Jeep,Gladiator,Attended,,
2018-06-19,Hunter,Nicholas,Nissan,Rogue,Attended,,
2018-06-19,King,Joshua,Kia,Sportage,Attended,,
2018-06-19,Alexander,Ryan,Toyota,Corolla,Attended,,
2018-06-19,Gordon,Emma,Toyota,Tacoma,Attended,,
2018-06-19,Diaz,Joseph,Audi,A4,Attended,,
2018-06-20,Richardson,Jonathan,Audi,Q3,Attended,,
2018-06-20,Evans,Logan,Jeep,Compass,Missed,,
2018-06-20,Wood,Jonathan,Toyota,Sienna,Missed,,
2018-06-21,Thompson,Lucas,Toyota,RAV4,Missed,,
2018-06-21,Sanchez,Samuel,Chevrolet,Impala,Attended,,
2018-06-21,Rodriguez,Chloe,Toyota,Corolla,Attended,,
